ra,dec,type,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
30.722191589326,-3.22434921390347,3,22.74008,24.3841,22.08726,22.04719,22.30622,0.4642987,0.7055957,0.1506694,0.1870889,0.8501878,22.79137,24.34843,21.90467,21.82377,22.50267,0.5285729,0.7661348,0.1493203,0.1863324,1.033872
30.7847698171778,-3.1665640213725,3,21.98573,21.4971,21.01505,20.79347,19.90419,0.3901626,0.06944338,0.06001818,0.06521172,0.1312958,21.17736,20.6963,19.89776,19.64607,19.06037,0.2099654,0.05798198,0.04524011,0.05241779,0.1213585
30.7836776423077,-3.20093340872902,3,23.50398,22.25031,21.77789,21.74754,22.44137,0.8597174,0.1278787,0.1130397,0.1430546,0.891855,24.21395,22.141,21.54866,21.49018,22.26558,1.454447,0.1337988,0.1132262,0.1487181,1.000738
30.7215452251166,-3.16457413867546,3,24.24915,21.82222,21.9114,21.73174,23.04997,1.271486,0.09070063,0.1284732,0.1415315,0.9157524,24.1669,21.6007,21.54616,21.31256,23.22359,1.607012,0.09384991,0.1286105,0.1425148,1.178185
30.6727824535916,-3.21149341905375,6,26.42612,24.11228,22.63139,21.9331,20.94313,0.4647257,0.6086181,0.2453875,0.1719782,0.3296635,26.63392,24.07687,22.60622,21.80955,20.92841,0.4082566,0.6311673,0.2673552,0.175373,0.3534849
30.6728617304407,-3.20204905483634,6,24.30823,23.778,22.86455,21.8318,21.1884,1.403011,0.5371873,0.2568974,0.1622364,0.4171441,24.3538,23.92264,22.87729,21.80006,21.2823,1.293543,0.5611789,0.3218671,0.162679,0.4566975
30.672429262436,-3.17003323425484,3,23.43819,20.9515,19.79573,19.40442,18.98275,0.8702578,0.04825724,0.02733709,0.03377414,0.06117257,23.65364,20.64838,19.33941,18.87993,18.63342,1.180662,0.04177238,0.02023979,0.01872418,0.05846445
30.7217610894094,-3.31496828185688,3,25.15422,22.86469,23.07334,22.57939,22.44245,0.9878837,0.1368347,0.2878699,0.3784549,0.5648484,25.54357,22.66245,23.04559,22.47444,22.71146,0.9776868,0.1451255,0.3499717,0.3255423,0.7622468
30.7842096072498,-3.31316642833218,3,25.19595,24.64718,22.77615,21.53342,21.1715,0.9721556,0.4760609,0.2227292,0.11576,0.2518018,25.48277,24.01228,22.13725,20.97193,20.67805,1.282084,0.5584657,0.1991747,0.1102753,0.2819848
30.7356394592694,-3.28303116983765,3,26.43848,25.09405,22.8688,21.83252,21.30442,0.3941613,0.5193787,0.2467054,0.1533356,0.286517,26.84502,25.14332,22.45331,21.4697,20.88248,0.3791905,0.7782801,0.2398861,0.1550087,0.3051986
30.7831811588296,-3.26326866082085,3,23.11002,21.98144,21.24711,21.00927,20.65194,0.521181,0.06575679,0.06244341,0.07497631,0.1678508,22.33484,21.22097,20.55243,20.37616,19.87248,0.4428458,0.05805606,0.05287013,0.06883565,0.153522
30.7819772193125,-3.28749682832906,3,23.734,23.15711,22.10786,21.53312,21.56795,0.8172256,0.1727841,0.1267808,0.1173002,0.348452,23.86625,22.66572,21.511,21.00596,20.87486,1.43593,0.1922706,0.1206149,0.1187329,0.3425093
30.7823535277444,-3.32494267167962,6,23.70649,23.16698,23.74248,23.01539,22.74706,0.8037461,0.1749074,0.5482298,0.4077285,0.588016,23.76218,23.19782,23.74424,23.04189,22.80751,0.8417485,0.1858108,0.4852843,0.4247618,0.6009073
30.7344176231821,-3.30881936034112,3,23.4984,22.68001,21.92499,21.93668,21.97304,0.7077485,0.1170353,0.1075141,0.1654774,0.4740564,23.60305,21.78293,20.84043,21.04449,21.25492,1.778397,0.1288953,0.09456059,0.174511,0.6979018
30.7356551578792,-3.25335499785131,3,22.38193,21.77834,21.29469,21.04368,21.58813,0.3604758,0.08229521,0.09549357,0.09955487,0.3302349,22.46619,21.74657,21.29994,21.04681,21.57968,0.3328796,0.05736578,0.06790186,0.08120383,0.3747309
30.7346413675102,-3.25638291952969,6,22.50378,20.74418,20.10685,19.84881,19.9437,0.3285685,0.03067559,0.03016216,0.03066511,0.09423782,22.54834,20.74149,20.1224,19.85533,19.97415,0.3480454,0.02657446,0.02553382,0.02960113,0.09795293
30.7347889022679,-3.25211721132149,6,20.50856,18.53709,17.79231,17.54135,17.40612,0.0706999,0.01898482,0.01890726,0.01330304,0.02200089,20.49689,18.48116,17.78773,17.52915,17.39404,0.06723806,0.00720109,0.006008179,0.006429843,0.01399858
30.735606137034,-3.2633442142707,6,22.08463,21.25472,21.30296,21.81706,20.85547,0.2464396,0.04619819,0.09657042,0.2654735,0.2460001,22.19159,21.24697,21.31503,21.85832,20.88603,0.2560185,0.03825611,0.06669933,0.1629438,0.2114916
30.6756693129086,-3.25498475328499,6,26.14,25.10805,25.59807,24.51471,20.85709,0.9582856,0.520417,0.6009948,0.7772759,1.029688,26.3095,25.14217,25.6729,24.58197,20.89137,0.4380891,0.5301691,0.5829921,0.7782096,0.219866
30.6749850743685,-3.26245810202196,6,25.29113,24.50415,24.02685,22.06538,22.85228,0.9204935,0.4523471,0.6042833,0.2644152,0.6342321,25.8206,24.58432,24.01741,22.15851,22.85106,0.6675836,0.4804062,0.609466,0.208965,0.6431357
